GEONAMEID;NAME;ASCIINAME;ALTERNATENAMES;LATITUDE;LONGITUDE;FEATURE_CLASS;FEATURE_CODE;COUNTRY_CODE;CC2;ADMIN1_CODE;ADMIN2_CODE;ADMIN3_CODE;ADMIN4_CODE;POPULATION;ELEVATION;DEM;TIMEZONE;MODIFICATION_DATE
10115113;Vila Select;Vila Select;;45.50948;25.55734;S;HTL;RO;;09;40303;;;0;;1209;Europe/Bucharest;2016-02-07
10115114;Predeal Comfort Suites;Predeal Comfort Suites;;45.50209;25.57694;S;HTL;RO;;09;40303;;;0;;1046;Europe/Bucharest;2016-02-07
10115115;Pensiunea Regina;Pensiunea Regina;;45.50058;25.57392;S;HTL;RO;;09;40303;;;0;;1029;Europe/Bucharest;2016-02-07
10115116;Orizont Hotel Predeal;Orizont Hotel Predeal;;45.50884;25.57304;S;HTL;RO;;09;40303;;;0;;1051;Europe/Bucharest;2016-02-07
10115117;Hotel Traian Severin;Hotel Traian Severin;;44.63206;22.65597;S;HTL;RO;;26;109773;;;0;;86;Europe/Bucharest;2016-02-07
10115118;Sirena;Sirena;;43.83051;28.58971;S;HTL;RO;;14;60482;;;0;;0;Europe/Bucharest;2016-02-07
10115119;Hora;Hora;;43.83052;28.58968;S;HTL;RO;;14;60482;;;0;;0;Europe/Bucharest;2016-02-07
10115120;Cleopatra;Cleopatra;;43.84289;28.5894;S;HTL;RO;;14;60482;;;0;;1;Europe/Bucharest;2016-02-07
10115121;Balada;Balada;;43.8287;28.5916;S;HTL;RO;;14;60482;;;0;;4;Europe/Bucharest;2016-02-07
10115122;Paradiso;Paradiso;;43.81576;28.58674;S;HTL;RO;;14;60482;;;0;;10;Europe/Bucharest;2016-02-07
10115123;Pacific Hotel;Pacific Hotel;;44.18211;28.61774;S;HTL;RO;;14;60419;;;0;;52;Europe/Bucharest;2016-02-07
10115124;Condor Hotel;Condor Hotel;;45.59355;25.55012;S;HTL;RO;;09;40198;;;0;;1022;Europe/Bucharest;2016-02-07
10115125;Hotel Coandi;Hotel Coandi;;46.16425;21.32218;S;HTL;RO;;02;9262;;;0;;109;Europe/Bucharest;2016-02-07
10115243;Intourist;Intourist;;45.73273;25.65878;S;HTL;RO;;09;41925;;;0;;519;Europe/Bucharest;2016-02-07
10115713;Gloria;Gloria;;47.64355;26.25799;S;AIRH;RO;;34;146263;;;0;0;348;Europe/Bucharest;2016-02-07
10115721;Capital Plaza Hotel Bucharest;Capital Plaza Hotel Bucharest;;44.45261;26.09631;S;AIRH;RO;;10;179132;11055041;;0;0;86;Europe/Bucharest;2016-02-07
10115830;Silver Hotel Conference & Spa;Silver Hotel Conference & Spa;;47.06605;21.96025;S;HTL;RO;;05;26564;;;0;;148;Europe/Bucharest;2016-02-07
10115831;Cristal Hotel;Cristal Hotel;;46.76477;23.57221;S;HTL;RO;;13;54975;;;0;;343;Europe/Bucharest;2016-02-07
10117801;Lyra Hotel;Lyra Hotel;;47.04429;21.96875;S;HTL;RO;;05;26564;;;0;;129;Europe/Bucharest;2016-02-07
10117802;Carol;Carol;;44.17431;28.41784;S;HTL;RO;;14;62360;;;0;;23;Europe/Bucharest;2016-02-07
10117803;Balada Nej;Balada Nej;;44.17923;28.63677;S;HTL;RO;;14;60419;;;0;;44;Europe/Bucharest;2016-02-07
10117804;Paradis Hotel;Paradis Hotel;;46.77971;23.61322;S;HTL;RO;;13;54975;;;0;;332;Europe/Bucharest;2016-02-07
10117806;Ambiance Hotel;Ambiance Hotel;;44.43854;26.0701;S;HTL;RO;;10;179132;11055039;;0;;72;Europe/Bucharest;2016-02-07
10117807;Monterai Resort;Monterai Resort;;45.60921;25.55463;S;HTL;RO;;09;40198;;;0;;951;Europe/Bucharest;2016-02-07
10117971;Pensiunea Natural Guesthouse;Pensiunea Natural Guesthouse;;45.63995;25.59105;S;HTL;RO;;09;40198;;;0;;594;Europe/Bucharest;2016-02-07
10118893;Best Hotel Ploiesti;Best Hotel Ploiesti;;44.93831;26.02249;S;HTL;RO;;30;130534;;;0;;156;Europe/Bucharest;2016-02-07
10119436;Euro Hotels International Triumf;Euro Hotels International Triumf;;44.4638;26.075;S;HTL;RO;;10;179132;11055041;;0;;90;Europe/Bucharest;2016-02-07
10119634;Mirage Snagov Hotel And Resort;Mirage Snagov Hotel And Resort;;44.709;26.171;S;HTL;RO;;43;105160;;;0;;90;Europe/Bucharest;2016-02-07
10119743;Sport & Spa;Sport & Spa;;45.59236;25.55718;S;HTL;RO;;09;40198;;;0;;1045;Europe/Bucharest;2016-02-07
10119744;Rina Vista;Rina Vista;;45.58415;25.52354;S;HTL;RO;;09;40198;;;0;;969;Europe/Bucharest;2016-02-07
10119746;Bradul Hotel-Poiana Brasov;Bradul Hotel-Poiana Brasov;;45.59228;25.55718;S;HTL;RO;;09;40198;;;0;;1045;Europe/Bucharest;2016-02-07
10119868;Muntenia;Muntenia;;44.85722;24.8711;S;HTL;RO;;03;13169;;;0;;278;Europe/Bucharest;2016-02-07
10119869;Galmondo;Galmondo;;45.43278;28.05143;S;HTL;RO;;18;75098;;;0;;26;Europe/Bucharest;2016-02-07
10119870;Visconti Residence;Visconti Residence;;44.43299;25.99485;S;HTL;RO;;10;179132;11055039;;0;;92;Europe/Bucharest;2016-02-07
10119871;Casa Sofia Hotel Bucharest;Casa Sofia Hotel Bucharest;;44.45179;26.10278;S;HTL;RO;;10;179132;11055040;;0;;84;Europe/Bucharest;2016-02-07
10120168;Olimp;Olimp;;46.75509;23.58508;S;HTL;RO;;13;54975;;;0;;432;Europe/Bucharest;2016-02-07
10120169;Meteor;Meteor;;46.77001;23.59418;S;HTL;RO;;13;54975;;;0;;344;Europe/Bucharest;2016-02-07
10120170;Agape Hotel;Agape Hotel;;46.77031;23.59165;S;HTL;RO;;13;54975;;;0;;350;Europe/Bucharest;2016-02-07
10120171;Hostel Nord;Hostel Nord;;45.75;21.20767;S;HTL;RO;;36;155243;;;0;;90;Europe/Bucharest;2016-02-07
10120172;Boavista;Boavista;;45.74561;21.24188;S;HTL;RO;;36;155243;;;0;;87;Europe/Bucharest;2016-02-07
10120173;West Plaza Hotel Bucharest;West Plaza Hotel Bucharest;;44.42964;26.03691;S;HTL;RO;;10;179132;11055039;;0;;90;Europe/Bucharest;2016-02-07
10120174;Radisson Blu Bucharest;Radisson Blu Bucharest;;44.44131;26.09412;S;HTL;RO;;10;179132;11055041;;0;;89;Europe/Bucharest;2016-02-07
10120175;Phoenicia Comfort;Phoenicia Comfort;;44.51146;26.02037;S;HTL;RO;;10;179132;11055041;;0;;89;Europe/Bucharest;2016-02-07
10120176;Pensiunea Luiza;Pensiunea Luiza;;45.66248;25.57856;S;HTL;RO;;09;40198;;;0;;551;Europe/Bucharest;2016-02-07
10120177;Pantex Hotel;Pantex Hotel;;45.64278;25.60005;S;HTL;RO;;09;40198;;;0;;619;Europe/Bucharest;2016-02-07
10120923;Oxford Hotel;Oxford Hotel;;44.21689;28.62882;S;HTL;RO;;14;60419;;;0;;8;Europe/Bucharest;2016-02-07
10120951;Bulevard Prestige Hotel;Bulevard Prestige Hotel;;44.42771;24.3655;S;HTL;RO;;29;125347;;;0;;173;Europe/Bucharest;2016-02-07
10120972;Vega Hotel;Vega Hotel;;44.25719;28.62075;S;HTL;RO;;14;60419;;;0;;4;Europe/Bucharest;2016-02-07
10120975;Rivulus Hotel;Rivulus Hotel;;47.65651;23.57123;S;HTL;RO;;25;106318;;;0;;221;Europe/Bucharest;2016-02-07
